page_identity,entity_type,section_count_zh,section_count_en,faq_count_zh,faq_count_en,source_ids_match,locked_claims_present,visible_claims_present,status,input_cohort_sha256
O3-feelings,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
O4-actions,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
O5-ideas,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
O6-values,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
C1-competence,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
C2-order,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
C3-dutifulness,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
C4-achievement-striving,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
C5-self-discipline,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
C6-deliberation,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
E1-warmth,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
E2-gregariousness,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
E3-assertiveness,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
E4-activity,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
E5-excitement-seeking,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
E6-positive-emotions,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
A1-trust,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
A2-straightforwardness,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
A3-altruism,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
A4-compliance,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
A5-modesty,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
A6-tender-mindedness,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
N1-anxiety,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
N2-anger,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
N3-depression,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
N4-self-consciousness,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
N5-impulsiveness,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
N6-vulnerability,facet_detail,16,16,5,5,true,true,true,PASS,94449467281cffaccc295bab3bbbb574cf817e461ee2fbae8288eedd9a988b3a
