page_identity,faq_index,question,normalized_question,answer_word_count,within_page_unique,cross_page_duplicate_count,intent_resolution,status,page_sha256
conscientiousness-low,3,Does low Conscientiousness mean poor workplace competitiveness?,doeslowconscientiousnessmeanpoorworkplacecompetitiveness,18,true,1,unique_intent,PASS,1f2445bd184fcb401372fcbcf0d8b92d57992249a8907940088799adf4b0d77b
conscientiousness-low,4,Can low Conscientiousness change?,canlowconscientiousnesschange,19,true,1,unique_intent,PASS,1f2445bd184fcb401372fcbcf0d8b92d57992249a8907940088799adf4b0d77b
extraversion-high,1,Does high Extraversion mean I cannot work independently?,doeshighextraversionmeanicannotworkindependently,16,true,1,unique_intent,PASS,14504ea72cbbd823216adfbd60f026e4760bd81cecefbe2ee96e88b3e0678d8d
extraversion-high,2,Are highly extraverted people happier?,arehighlyextravertedpeoplehappier,19,true,1,unique_intent,PASS,14504ea72cbbd823216adfbd60f026e4760bd81cecefbe2ee96e88b3e0678d8d
extraversion-high,3,Can I make myself less extraverted?,canimakemyselflessextraverted,16,true,1,unique_intent,PASS,14504ea72cbbd823216adfbd60f026e4760bd81cecefbe2ee96e88b3e0678d8d
extraversion-high,4,Is high Extraversion an advantage in cultures that value it?,ishighextraversionanadvantageinculturesthatvalueit,15,true,1,unique_intent,PASS,14504ea72cbbd823216adfbd60f026e4760bd81cecefbe2ee96e88b3e0678d8d
extraversion-high,5,Is high Extraversion the same as impulsivity?,ishighextraversionthesameasimpulsivity,21,true,1,unique_intent,PASS,14504ea72cbbd823216adfbd60f026e4760bd81cecefbe2ee96e88b3e0678d8d
extraversion-mid,1,Is mid-range Extraversion just the “ordinary” level?,ismidrangeextraversionjusttheordinarylevel,15,true,1,unique_intent,PASS,3c015f80a939fddb6f29af5631b47962b4af2a332f09fe99a6db2756d474c6fc
extraversion-mid,2,Is it normal to feel more or less extraverted at different times?,isitnormaltofeelmoreorlessextravertedatdifferenttimes,20,true,1,unique_intent,PASS,3c015f80a939fddb6f29af5631b47962b4af2a332f09fe99a6db2756d474c6fc
extraversion-mid,3,What should a mid-range person consider when exploring work?,whatshouldamidrangepersonconsiderwhenexploringwork,15,true,2,reviewed_context_specific_answer,PASS,3c015f80a939fddb6f29af5631b47962b4af2a332f09fe99a6db2756d474c6fc
extraversion-mid,4,Am I both introverted and extraverted?,amibothintrovertedandextraverted,23,true,1,unique_intent,PASS,3c015f80a939fddb6f29af5631b47962b4af2a332f09fe99a6db2756d474c6fc
extraversion-low,1,Does low Extraversion mean I should avoid social contact?,doeslowextraversionmeanishouldavoidsocialcontact,21,true,1,unique_intent,PASS,d17252b0fafae073d00bce6a0e1721f1eaac4f005fff346f4c39291a0be9571e
extraversion-low,2,How can I handle a socially intense setting such as an interview?,howcanihandleasociallyintensesettingsuchasaninterview,20,true,1,unique_intent,PASS,d17252b0fafae073d00bce6a0e1721f1eaac4f005fff346f4c39291a0be9571e
extraversion-low,3,Is low Extraversion related to Asperger syndrome?,islowextraversionrelatedtoaspergersyndrome,16,true,1,unique_intent,PASS,d17252b0fafae073d00bce6a0e1721f1eaac4f005fff346f4c39291a0be9571e
extraversion-low,4,Can I make myself more extraverted?,canimakemyselfmoreextraverted,19,true,1,unique_intent,PASS,d17252b0fafae073d00bce6a0e1721f1eaac4f005fff346f4c39291a0be9571e
agreeableness-high,1,Does high Agreeableness mean I always accommodate others?,doeshighagreeablenessmeanialwaysaccommodateothers,16,true,1,unique_intent,PASS,10026ad81bcbd673c923c28c63ef5aa1d5f97b27c7b89b7142e196aea65a0829
agreeableness-high,2,Is high Agreeableness a workplace disadvantage?,ishighagreeablenessaworkplacedisadvantage,21,true,1,unique_intent,PASS,10026ad81bcbd673c923c28c63ef5aa1d5f97b27c7b89b7142e196aea65a0829
agreeableness-high,3,Are highly agreeable people easier to deceive?,arehighlyagreeablepeopleeasiertodeceive,14,true,1,unique_intent,PASS,10026ad81bcbd673c923c28c63ef5aa1d5f97b27c7b89b7142e196aea65a0829
agreeableness-high,4,How can I get better at saying no?,howcanigetbetteratsayingno,20,true,1,unique_intent,PASS,10026ad81bcbd673c923c28c63ef5aa1d5f97b27c7b89b7142e196aea65a0829
agreeableness-mid,1,Is mid-range Agreeableness just treating people differently for advantage?,ismidrangeagreeablenessjusttreatingpeopledifferentlyforadvantage,19,true,1,unique_intent,PASS,d8b5635c203d5160bbab900aaabdb212a282aceaa6d9660511f9e335e5994391
agreeableness-mid,2,What should a mid-range person consider when exploring work?,whatshouldamidrangepersonconsiderwhenexploringwork,18,true,2,reviewed_context_specific_answer,PASS,d8b5635c203d5160bbab900aaabdb212a282aceaa6d9660511f9e335e5994391
agreeableness-mid,3,Can I deliberately train Agreeableness?,canideliberatelytrainagreeableness,21,true,1,unique_intent,PASS,d8b5635c203d5160bbab900aaabdb212a282aceaa6d9660511f9e335e5994391
agreeableness-mid,4,How can a mid-range person contribute in a team?,howcanamidrangepersoncontributeinateam,20,true,1,unique_intent,PASS,d8b5635c203d5160bbab900aaabdb212a282aceaa6d9660511f9e335e5994391
agreeableness-low,1,Does low Agreeableness mean I am a bad person?,doeslowagreeablenessmeaniamabadperson,17,true,1,unique_intent,PASS,84ecb1e40e26e3d8eace7b3834aa8397d0f2ae037abdae53979eaac3167d142d
agreeableness-low,2,Can low Agreeableness change through practice?,canlowagreeablenesschangethroughpractice,19,true,1,unique_intent,PASS,84ecb1e40e26e3d8eace7b3834aa8397d0f2ae037abdae53979eaac3167d142d
agreeableness-low,3,Do people with low Agreeableness inevitably cause team problems?,dopeoplewithlowagreeablenessinevitablycauseteamproblems,18,true,1,unique_intent,PASS,84ecb1e40e26e3d8eace7b3834aa8397d0f2ae037abdae53979eaac3167d142d
agreeableness-low,4,What if I worry that this score will shape how others see me?,whatifiworrythatthisscorewillshapehowothersseeme,26,true,1,unique_intent,PASS,84ecb1e40e26e3d8eace7b3834aa8397d0f2ae037abdae53979eaac3167d142d
neuroticism-high,1,Does high Neuroticism mean an anxiety disorder?,doeshighneuroticismmeanananxietydisorder,15,true,1,unique_intent,PASS,4b7d6d371fd219cda5b77181decf0ff57fca60a6c321430b1402e0abafccb0af
neuroticism-high,2,Should I try to lower my Neuroticism?,shoulditrytolowermyneuroticism,21,true,1,unique_intent,PASS,4b7d6d371fd219cda5b77181decf0ff57fca60a6c321430b1402e0abafccb0af
neuroticism-high,3,Is high Neuroticism a disadvantage?,ishighneuroticismadisadvantage,16,true,1,unique_intent,PASS,4b7d6d371fd219cda5b77181decf0ff57fca60a6c321430b1402e0abafccb0af
neuroticism-high,4,Does high Neuroticism affect physical health?,doeshighneuroticismaffectphysicalhealth,20,true,1,unique_intent,PASS,4b7d6d371fd219cda5b77181decf0ff57fca60a6c321430b1402e0abafccb0af
neuroticism-high,5,Do I need to see a mental-health professional?,doineedtoseeamentalhealthprofessional,21,true,1,unique_intent,PASS,4b7d6d371fd219cda5b77181decf0ff57fca60a6c321430b1402e0abafccb0af
neuroticism-mid,1,Is mid-range Neuroticism the “normal” level?,ismidrangeneuroticismthenormallevel,14,true,1,unique_intent,PASS,cad05eb15c8a731a81f6cdb1b63697b50d32c79666b2e0f6d1217220a262b785
neuroticism-mid,2,What if my score is close to a high or low boundary?,whatifmyscoreisclosetoahighorlowboundary,19,true,1,unique_intent,PASS,cad05eb15c8a731a81f6cdb1b63697b50d32c79666b2e0f6d1217220a262b785
neuroticism-mid,3,Is Neuroticism the same as resilience?,isneuroticismthesameasresilience,16,true,1,unique_intent,PASS,cad05eb15c8a731a81f6cdb1b63697b50d32c79666b2e0f6d1217220a262b785
neuroticism-mid,4,Should I worry that my Neuroticism score will increase?,shouldiworrythatmyneuroticismscorewillincrease,19,true,1,unique_intent,PASS,cad05eb15c8a731a81f6cdb1b63697b50d32c79666b2e0f6d1217220a262b785
neuroticism-low,1,Does low Neuroticism mean having no emotions?,doeslowneuroticismmeanhavingnoemotions,16,true,1,unique_intent,PASS,e400865859b942aa0e06f05788c91cd09d00580140b11503400d5dbc1ed7e297
neuroticism-low,2,What relationship problems do people with low Neuroticism have?,whatrelationshipproblemsdopeoplewithlowneuroticismhave,20,true,1,unique_intent,PASS,e400865859b942aa0e06f05788c91cd09d00580140b11503400d5dbc1ed7e297
neuroticism-low,3,Is low Neuroticism an advantage?,islowneuroticismanadvantage,20,true,1,unique_intent,PASS,e400865859b942aa0e06f05788c91cd09d00580140b11503400d5dbc1ed7e297
neuroticism-low,4,Can I make my Neuroticism score lower?,canimakemyneuroticismscorelower,18,true,1,unique_intent,PASS,e400865859b942aa0e06f05788c91cd09d00580140b11503400d5dbc1ed7e297
neuroticism-low,5,Does low Neuroticism protect against mental illness?,doeslowneuroticismprotectagainstmentalillness,19,true,1,unique_intent,PASS,e400865859b942aa0e06f05788c91cd09d00580140b11503400d5dbc1ed7e297
facets,1,Which facet should I read first?,whichfacetshouldireadfirst,37,true,1,unique_intent,PASS,d11cc87a47bb912f280f66d102e2adf3f7318e4c909c56edae53ee7871d55953
facets,2,What if my facet scores and domain score seem inconsistent?,whatifmyfacetscoresanddomainscoreseeminconsistent,44,true,1,unique_intent,PASS,d11cc87a47bb912f280f66d102e2adf3f7318e4c909c56edae53ee7871d55953
facets,3,How should I explain my facet pattern to someone else?,howshouldiexplainmyfacetpatterntosomeoneelse,49,true,1,unique_intent,PASS,d11cc87a47bb912f280f66d102e2adf3f7318e4c909c56edae53ee7871d55953
facets,4,Is it a problem if all 30 facets are low?,isitaproblemifall30facetsarelow,62,true,1,unique_intent,PASS,d11cc87a47bb912f280f66d102e2adf3f7318e4c909c56edae53ee7871d55953
facets,5,Can facets change?,canfacetschange,47,true,1,unique_intent,PASS,d11cc87a47bb912f280f66d102e2adf3f7318e4c909c56edae53ee7871d55953
facets,6,Can I compare facet results from different tests directly?,canicomparefacetresultsfromdifferenttestsdirectly,39,true,1,unique_intent,PASS,d11cc87a47bb912f280f66d102e2adf3f7318e4c909c56edae53ee7871d55953
facets,7,Can facets be used for career planning?,canfacetsbeusedforcareerplanning,52,true,1,unique_intent,PASS,d11cc87a47bb912f280f66d102e2adf3f7318e4c909c56edae53ee7871d55953
O1-imagination,1,Does strong Imagination equal creativity?,doesstrongimaginationequalcreativity,17,true,1,unique_intent,PASS,7b7af71b2964a7640c4751b363766c14108a3dd4d8c25f982f4e3d2adc2bdc07
O1-imagination,2,Does weaker Imagination make someone boring?,doesweakerimaginationmakesomeoneboring,18,true,1,unique_intent,PASS,7b7af71b2964a7640c4751b363766c14108a3dd4d8c25f982f4e3d2adc2bdc07
O1-imagination,3,Can Imagination be trained?,canimaginationbetrained,19,true,1,unique_intent,PASS,7b7af71b2964a7640c4751b363766c14108a3dd4d8c25f982f4e3d2adc2bdc07
O1-imagination,4,Do children necessarily have stronger Imagination than adults?,dochildrennecessarilyhavestrongerimaginationthanadults,19,true,1,unique_intent,PASS,7b7af71b2964a7640c4751b363766c14108a3dd4d8c25f982f4e3d2adc2bdc07
O1-imagination,5,Can strong Imagination make someone confuse fantasy with reality?,canstrongimaginationmakesomeoneconfusefantasywithreality,17,true,1,unique_intent,PASS,7b7af71b2964a7640c4751b363766c14108a3dd4d8c25f982f4e3d2adc2bdc07
O1-imagination,6,How is this facet different from daydreaming?,howisthisfacetdifferentfromdaydreaming,16,true,1,unique_intent,PASS,7b7af71b2964a7640c4751b363766c14108a3dd4d8c25f982f4e3d2adc2bdc07
O2-aesthetics,1,Does strong Aesthetics mean artistic talent?,doesstrongaestheticsmeanartistictalent,10,true,1,unique_intent,PASS,844c6002928db2a90e7ee820cafd505bb57a0eab7886122f1a11a5c93a9710a0
O2-aesthetics,2,Does weaker Aesthetics mean having no feelings?,doesweakeraestheticsmeanhavingnofeelings,20,true,1,unique_intent,PASS,844c6002928db2a90e7ee820cafd505bb57a0eab7886122f1a11a5c93a9710a0
O2-aesthetics,3,Can aesthetic sensitivity be cultivated?,canaestheticsensitivitybecultivated,18,true,1,unique_intent,PASS,844c6002928db2a90e7ee820cafd505bb57a0eab7886122f1a11a5c93a9710a0
O2-aesthetics,4,Does culture affect this facet?,doescultureaffectthisfacet,23,true,1,unique_intent,PASS,844c6002928db2a90e7ee820cafd505bb57a0eab7886122f1a11a5c93a9710a0
O2-aesthetics,5,Does being too busy for museums imply weaker Aesthetics?,doesbeingtoobusyformuseumsimplyweakeraesthetics,18,true,1,unique_intent,PASS,844c6002928db2a90e7ee820cafd505bb57a0eab7886122f1a11a5c93a9710a0
O3-feelings,1,Does strong Feelings mean being emotional?,doesstrongfeelingsmeanbeingemotional,13,true,1,unique_intent,PASS,4128b07340cbea3658cc3ea55656a5d67f54e9372f9a487b9f548619d797da79
O3-feelings,2,Does weaker Feelings mean low emotional intelligence?,doesweakerfeelingsmeanlowemotionalintelligence,15,true,1,unique_intent,PASS,4128b07340cbea3658cc3ea55656a5d67f54e9372f9a487b9f548619d797da79
O3-feelings,3,Is rarely thinking about emotion a problem?,israrelythinkingaboutemotionaproblem,21,true,1,unique_intent,PASS,4128b07340cbea3658cc3ea55656a5d67f54e9372f9a487b9f548619d797da79
O3-feelings,4,Is this facet the same as meditation experience?,isthisfacetthesameasmeditationexperience,17,true,1,unique_intent,PASS,4128b07340cbea3658cc3ea55656a5d67f54e9372f9a487b9f548619d797da79
O3-feelings,5,Can emotional awareness be practiced?,canemotionalawarenessbepracticed,20,true,1,unique_intent,PASS,4128b07340cbea3658cc3ea55656a5d67f54e9372f9a487b9f548619d797da79
O4-actions,1,Does strong Actions mean being restless or unreliable?,doesstrongactionsmeanbeingrestlessorunreliable,12,true,1,unique_intent,PASS,8678d98d9d87ad7c3148decd5142cc2ab9ed07f6e6c066e15cfac83e4fd8cb0a
O4-actions,2,Does weaker Actions imply a boring life?,doesweakeractionsimplyaboringlife,14,true,1,unique_intent,PASS,8678d98d9d87ad7c3148decd5142cc2ab9ed07f6e6c066e15cfac83e4fd8cb0a
O4-actions,3,Is this facet the same as adventurousness?,isthisfacetthesameasadventurousness,13,true,1,unique_intent,PASS,8678d98d9d87ad7c3148decd5142cc2ab9ed07f6e6c066e15cfac83e4fd8cb0a
O4-actions,4,Do older people necessarily score lower on Actions?,doolderpeoplenecessarilyscoreloweronactions,15,true,1,unique_intent,PASS,8678d98d9d87ad7c3148decd5142cc2ab9ed07f6e6c066e15cfac83e4fd8cb0a
O4-actions,5,Where can I start if I want more variety?,wherecanistartifiwantmorevariety,15,true,1,unique_intent,PASS,8678d98d9d87ad7c3148decd5142cc2ab9ed07f6e6c066e15cfac83e4fd8cb0a
O5-ideas,1,Does strong Ideas mean being intelligent?,doesstrongideasmeanbeingintelligent,16,true,1,unique_intent,PASS,4a987af45d64a4ddb171ddcd67c8e0e6913fab45620241561c1e57c9f49d02e4
O5-ideas,2,Do people with weaker Ideas dislike learning?,dopeoplewithweakerideasdislikelearning,16,true,1,unique_intent,PASS,4a987af45d64a4ddb171ddcd67c8e0e6913fab45620241561c1e57c9f49d02e4
O5-ideas,3,Is this facet the same as curiosity?,isthisfacetthesameascuriosity,16,true,1,unique_intent,PASS,4a987af45d64a4ddb171ddcd67c8e0e6913fab45620241561c1e57c9f49d02e4
