page_identity,title_unique,seo_title_unique,seo_description_unique,answer_first,h1_count,h2_count,faq_question_style,en_us_spelling,keyword_stuffing_flag,status,page_sha256
C6-deliberation,true,true,true,true,1,16,true,true,false,PASS,d1caecaf4c54b72461ed03a1323c9bc10cc4a00d4813c8eb61124543f889e137
E1-warmth,true,true,true,true,1,16,true,true,false,PASS,b133e0ae6d00583a6921fe122e0c63a2d65eb3daf275963a23deb09d2d63f251
E2-gregariousness,true,true,true,true,1,16,true,true,false,PASS,26f1da4612a006aa5ed5a5b3122bcc98bd7c0a0cecb08d1a3511f10b45038530
E3-assertiveness,true,true,true,true,1,16,true,true,false,PASS,987390639defd0c7bad73b30db3a2523f56aa56a99f3d4586413f2332b03e2bd
E4-activity,true,true,true,true,1,16,true,true,false,PASS,d6d388625b3fd4cf42db510f25ac0d4c73c8a0f61f353b78e23bd44adcb9bed8
E5-excitement-seeking,true,true,true,true,1,16,true,true,false,PASS,718fc2f961bb0b13dc5e6b7228db63903f85f454108fcfeedcd2c65455e6ec83
E6-positive-emotions,true,true,true,true,1,16,true,true,false,PASS,960be3a98a038b6bb52cbfb7ddfa1ba6313b2e39f7f6406f761977f538a9e973
A1-trust,true,true,true,true,1,16,true,true,false,PASS,ea51cfe1811f77c1b5f69ee11d21de04155d0064ecae4d59a4e779bd1b27f05b
A2-straightforwardness,true,true,true,true,1,16,true,true,false,PASS,f3f7a7de972ae635ddf2bc40eced6f84809525386a99caa43378e29bbdfc528b
A3-altruism,true,true,true,true,1,16,true,true,false,PASS,120e36b0cd1a157cfe94e0fae041f3e7acb273e687cc85cb0492aaad2f2ee755
A4-compliance,true,true,true,true,1,16,true,true,false,PASS,c8606fa447d797cd9b17cad5cc9a20467ae87912476668dfc2d6d7bfc9180ca6
A5-modesty,true,true,true,true,1,16,true,true,false,PASS,f2a878c5e9e03b8d770f122bf7ea54e87ac9e8441705665775c01af8ce2b1d4d
A6-tender-mindedness,true,true,true,true,1,16,true,true,false,PASS,71a9ed2ea18069d67e9f76f736499d0e4d2faa6968f2c9184979972fb6a84bdb
N1-anxiety,true,true,true,true,1,16,true,true,false,PASS,13123652a42adc5aab39cd8c512c4187ec74ef81ab14392b5df1f7a13d27ac6d
N2-anger,true,true,true,true,1,16,true,true,false,PASS,c49e0a2a2c4e2ec2ba370cb3cb85027a56d24564cfadc6ea0c9f0ee4b9742dce
N3-depression,true,true,true,true,1,16,true,true,false,PASS,8643d82006c0b1a9223f6e625a2d3e5349a553e9ffe3857689cd092325a0513d
N4-self-consciousness,true,true,true,true,1,16,true,true,false,PASS,48d3c9f7ab72b6c4a7e4651924ab63127c6821d87c7336046ca180ce4aa080cd
N5-impulsiveness,true,true,true,true,1,16,true,true,false,PASS,b872771598cea400d33439a807df99160f5dffcc4f9ee1e09efddefd29570274
N6-vulnerability,true,true,true,true,1,16,true,true,false,PASS,c64b7069b817955cd0e2a7bf61c3ae4b09cf066fc4e1cc2c5b21050c7bc93881
