profile_key,profile_label_zh,scenario,scenario_label_zh,expected_roles,actual_roles,status
quiet_deep_worker,稳态深工者,workplace,工作场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
quiet_deep_worker,稳态深工者,relationships,关系场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
quiet_deep_worker,稳态深工者,stress_recovery,压力与恢复,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
quiet_deep_worker,稳态深工者,personal_growth,个人成长,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
quiet_deep_worker,稳态深工者,collaboration,协作说明书,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
connective_coordinator,连接驱动协调者,workplace,工作场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
connective_coordinator,连接驱动协调者,relationships,关系场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
connective_coordinator,连接驱动协调者,stress_recovery,压力与恢复,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
connective_coordinator,连接驱动协调者,personal_growth,个人成长,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
connective_coordinator,连接驱动协调者,collaboration,协作说明书,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
sharp_exploratory_driver,锋利探索推进者,workplace,工作场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
sharp_exploratory_driver,锋利探索推进者,relationships,关系场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
sharp_exploratory_driver,锋利探索推进者,stress_recovery,压力与恢复,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
sharp_exploratory_driver,锋利探索推进者,personal_growth,个人成长,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
sharp_exploratory_driver,锋利探索推进者,collaboration,协作说明书,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
orderly_supporter,秩序维护型支持者,workplace,工作场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
orderly_supporter,秩序维护型支持者,relationships,关系场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
orderly_supporter,秩序维护型支持者,stress_recovery,压力与恢复,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
orderly_supporter,秩序维护型支持者,personal_growth,个人成长,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
orderly_supporter,秩序维护型支持者,collaboration,协作说明书,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
overloaded_internalizer,高负荷内耗型,workplace,工作场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
overloaded_internalizer,高负荷内耗型,relationships,关系场景,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
overloaded_internalizer,高负荷内耗型,stress_recovery,压力与恢复,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
overloaded_internalizer,高负荷内耗型,personal_growth,个人成长,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
overloaded_internalizer,高负荷内耗型,collaboration,协作说明书,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,scenario_core_pattern|scenario_strength_and_risk|scenario_action_protocol|scenario_misread_and_repair,PASS
