locale,code_a,code_b,similarity
en,neuroticism,low-agreeableness,0.348
en,openness,high-conscientiousness,0.345
en,neuroticism,high-extraversion,0.345
en,extraversion,high-neuroticism,0.344
en,agreeableness,high-openness,0.342
en,extraversion,high-agreeableness,0.341
en,neuroticism,low-conscientiousness,0.338
en,extraversion,low-agreeableness,0.337
en,neuroticism,high-openness,0.337
en,conscientiousness,high-openness,0.336
en,extraversion,emotional-stability,0.336
en,extraversion,high-openness,0.333
en,extraversion,low-openness,0.333
en,openness,low-agreeableness,0.331
en,extraversion,high-conscientiousness,0.331
en,extraversion,low-conscientiousness,0.331
en,conscientiousness,low-openness,0.329
en,conscientiousness,high-agreeableness,0.329
en,conscientiousness,low-agreeableness,0.329
en,openness,high-extraversion,0.328
en,conscientiousness,low-extraversion,0.328
en,conscientiousness,high-neuroticism,0.328
en,openness,low-extraversion,0.327
en,openness,high-neuroticism,0.327
en,openness,emotional-stability,0.327
en,openness,low-conscientiousness,0.325
en,conscientiousness,high-extraversion,0.322
en,conscientiousness,emotional-stability,0.321
en,openness,high-agreeableness,0.317
zh-CN,agreeableness,high-agreeableness,0.191
zh-CN,extraversion,high-extraversion,0.19
zh-CN,neuroticism,high-neuroticism,0.189
zh-CN,conscientiousness,high-conscientiousness,0.186
zh-CN,agreeableness,low-openness,0.185
zh-CN,extraversion,low-openness,0.184
zh-CN,agreeableness,low-conscientiousness,0.184
zh-CN,agreeableness,high-extraversion,0.184
zh-CN,agreeableness,low-extraversion,0.184
zh-CN,extraversion,low-conscientiousness,0.183
zh-CN,extraversion,low-extraversion,0.183
zh-CN,extraversion,high-agreeableness,0.183
zh-CN,agreeableness,high-conscientiousness,0.183
zh-CN,openness,low-openness,0.182
zh-CN,extraversion,high-conscientiousness,0.182
zh-CN,openness,high-openness,0.181
zh-CN,openness,low-conscientiousness,0.181
zh-CN,openness,high-extraversion,0.181
zh-CN,openness,low-extraversion,0.181
zh-CN,openness,high-agreeableness,0.181
zh-CN,conscientiousness,low-openness,0.181
zh-CN,agreeableness,low-agreeableness,0.181
zh-CN,neuroticism,emotional-stability,0.181
zh-CN,openness,high-conscientiousness,0.18
zh-CN,conscientiousness,low-conscientiousness,0.18
zh-CN,conscientiousness,high-extraversion,0.18
zh-CN,conscientiousness,low-extraversion,0.18
zh-CN,conscientiousness,high-agreeableness,0.18
zh-CN,extraversion,low-agreeableness,0.18
zh-CN,openness,low-agreeableness,0.178
zh-CN,agreeableness,high-openness,0.178
zh-CN,conscientiousness,low-agreeableness,0.176
zh-CN,extraversion,high-openness,0.176
zh-CN,agreeableness,high-neuroticism,0.176
zh-CN,neuroticism,low-openness,0.176
zh-CN,extraversion,high-neuroticism,0.175
zh-CN,agreeableness,emotional-stability,0.175
zh-CN,neuroticism,low-conscientiousness,0.175
zh-CN,neuroticism,high-extraversion,0.175
zh-CN,neuroticism,low-extraversion,0.175
zh-CN,neuroticism,high-agreeableness,0.175
zh-CN,extraversion,emotional-stability,0.174
zh-CN,neuroticism,high-conscientiousness,0.174
zh-CN,openness,high-neuroticism,0.173
zh-CN,conscientiousness,high-openness,0.173
zh-CN,openness,emotional-stability,0.172
zh-CN,conscientiousness,high-neuroticism,0.172
zh-CN,neuroticism,low-agreeableness,0.172
zh-CN,conscientiousness,emotional-stability,0.171
zh-CN,neuroticism,high-openness,0.169
