row_id,section,metric_level,metric_code,bucket,access_level,locale,title,body
facet_top_N2_high_zh,top_facets,facet,N2,high,paid,zh-CN,愤怒 high,愤怒处于high区间（百分位 {{facets.N2.percentile}}）。
facet_deep_N2_high_en,facets_deepdive,facet,N2,high,paid,en,Anger high,Detailed insight: Anger is high ({{facets.N2.percentile}}th percentile).
facet_deep_N2_high_zh,facets_deepdive,facet,N2,high,paid,zh-CN,愤怒 high,深入解读：愤怒处于high区间（百分位 {{facets.N2.percentile}}）。
facet_top_N3_low_en,top_facets,facet,N3,low,paid,en,Depression low,Depression is low ({{facets.N3.percentile}}th percentile).
facet_top_N3_low_zh,top_facets,facet,N3,low,paid,zh-CN,抑郁 low,抑郁处于low区间（百分位 {{facets.N3.percentile}}）。
facet_deep_N3_low_en,facets_deepdive,facet,N3,low,paid,en,Depression low,Detailed insight: Depression is low ({{facets.N3.percentile}}th percentile).
facet_deep_N3_low_zh,facets_deepdive,facet,N3,low,paid,zh-CN,抑郁 low,深入解读：抑郁处于low区间（百分位 {{facets.N3.percentile}}）。
facet_top_N3_high_en,top_facets,facet,N3,high,paid,en,Depression high,Depression is high ({{facets.N3.percentile}}th percentile).
facet_top_N3_high_zh,top_facets,facet,N3,high,paid,zh-CN,抑郁 high,抑郁处于high区间（百分位 {{facets.N3.percentile}}）。
facet_deep_N3_high_en,facets_deepdive,facet,N3,high,paid,en,Depression high,Detailed insight: Depression is high ({{facets.N3.percentile}}th percentile).
facet_deep_N3_high_zh,facets_deepdive,facet,N3,high,paid,zh-CN,抑郁 high,深入解读：抑郁处于high区间（百分位 {{facets.N3.percentile}}）。
facet_top_N4_low_en,top_facets,facet,N4,low,paid,en,Self-Consciousness low,Self-Consciousness is low ({{facets.N4.percentile}}th percentile).
facet_top_N4_low_zh,top_facets,facet,N4,low,paid,zh-CN,自我意识 low,自我意识处于low区间（百分位 {{facets.N4.percentile}}）。
facet_deep_N4_low_en,facets_deepdive,facet,N4,low,paid,en,Self-Consciousness low,Detailed insight: Self-Consciousness is low ({{facets.N4.percentile}}th percentile).
facet_deep_N4_low_zh,facets_deepdive,facet,N4,low,paid,zh-CN,自我意识 low,深入解读：自我意识处于low区间（百分位 {{facets.N4.percentile}}）。
facet_top_N4_high_en,top_facets,facet,N4,high,paid,en,Self-Consciousness high,Self-Consciousness is high ({{facets.N4.percentile}}th percentile).
facet_top_N4_high_zh,top_facets,facet,N4,high,paid,zh-CN,自我意识 high,自我意识处于high区间（百分位 {{facets.N4.percentile}}）。
facet_deep_N4_high_en,facets_deepdive,facet,N4,high,paid,en,Self-Consciousness high,Detailed insight: Self-Consciousness is high ({{facets.N4.percentile}}th percentile).
facet_deep_N4_high_zh,facets_deepdive,facet,N4,high,paid,zh-CN,自我意识 high,深入解读：自我意识处于high区间（百分位 {{facets.N4.percentile}}）。
facet_top_N5_low_en,top_facets,facet,N5,low,paid,en,Immoderation low,Immoderation is low ({{facets.N5.percentile}}th percentile).
facet_top_N5_low_zh,top_facets,facet,N5,low,paid,zh-CN,冲动放纵 low,冲动放纵处于low区间（百分位 {{facets.N5.percentile}}）。
facet_deep_N5_low_en,facets_deepdive,facet,N5,low,paid,en,Immoderation low,Detailed insight: Immoderation is low ({{facets.N5.percentile}}th percentile).
facet_deep_N5_low_zh,facets_deepdive,facet,N5,low,paid,zh-CN,冲动放纵 low,深入解读：冲动放纵处于low区间（百分位 {{facets.N5.percentile}}）。
facet_top_N5_high_en,top_facets,facet,N5,high,paid,en,Immoderation high,Immoderation is high ({{facets.N5.percentile}}th percentile).
facet_top_N5_high_zh,top_facets,facet,N5,high,paid,zh-CN,冲动放纵 high,冲动放纵处于high区间（百分位 {{facets.N5.percentile}}）。
facet_deep_N5_high_en,facets_deepdive,facet,N5,high,paid,en,Immoderation high,Detailed insight: Immoderation is high ({{facets.N5.percentile}}th percentile).
facet_deep_N5_high_zh,facets_deepdive,facet,N5,high,paid,zh-CN,冲动放纵 high,深入解读：冲动放纵处于high区间（百分位 {{facets.N5.percentile}}）。
facet_top_N6_low_en,top_facets,facet,N6,low,paid,en,Vulnerability low,Vulnerability is low ({{facets.N6.percentile}}th percentile).
facet_top_N6_low_zh,top_facets,facet,N6,low,paid,zh-CN,脆弱性 low,脆弱性处于low区间（百分位 {{facets.N6.percentile}}）。
facet_deep_N6_low_en,facets_deepdive,facet,N6,low,paid,en,Vulnerability low,Detailed insight: Vulnerability is low ({{facets.N6.percentile}}th percentile).
facet_deep_N6_low_zh,facets_deepdive,facet,N6,low,paid,zh-CN,脆弱性 low,深入解读：脆弱性处于low区间（百分位 {{facets.N6.percentile}}）。
facet_top_N6_high_en,top_facets,facet,N6,high,paid,en,Vulnerability high,Vulnerability is high ({{facets.N6.percentile}}th percentile).
facet_top_N6_high_zh,top_facets,facet,N6,high,paid,zh-CN,脆弱性 high,脆弱性处于high区间（百分位 {{facets.N6.percentile}}）。
facet_deep_N6_high_en,facets_deepdive,facet,N6,high,paid,en,Vulnerability high,Detailed insight: Vulnerability is high ({{facets.N6.percentile}}th percentile).
facet_deep_N6_high_zh,facets_deepdive,facet,N6,high,paid,zh-CN,脆弱性 high,深入解读：脆弱性处于high区间（百分位 {{facets.N6.percentile}}）。
facet_top_E1_low_en,top_facets,facet,E1,low,paid,en,Friendliness low,Friendliness is low ({{facets.E1.percentile}}th percentile).
facet_top_E1_low_zh,top_facets,facet,E1,low,paid,zh-CN,友善 low,友善处于low区间（百分位 {{facets.E1.percentile}}）。
facet_deep_E1_low_en,facets_deepdive,facet,E1,low,paid,en,Friendliness low,Detailed insight: Friendliness is low ({{facets.E1.percentile}}th percentile).
facet_deep_E1_low_zh,facets_deepdive,facet,E1,low,paid,zh-CN,友善 low,深入解读：友善处于low区间（百分位 {{facets.E1.percentile}}）。
facet_top_E1_high_en,top_facets,facet,E1,high,paid,en,Friendliness high,Friendliness is high ({{facets.E1.percentile}}th percentile).
facet_top_E1_high_zh,top_facets,facet,E1,high,paid,zh-CN,友善 high,友善处于high区间（百分位 {{facets.E1.percentile}}）。
facet_deep_E1_high_en,facets_deepdive,facet,E1,high,paid,en,Friendliness high,Detailed insight: Friendliness is high ({{facets.E1.percentile}}th percentile).
facet_deep_E1_high_zh,facets_deepdive,facet,E1,high,paid,zh-CN,友善 high,深入解读：友善处于high区间（百分位 {{facets.E1.percentile}}）。
facet_top_E2_low_en,top_facets,facet,E2,low,paid,en,Gregariousness low,Gregariousness is low ({{facets.E2.percentile}}th percentile).
facet_top_E2_low_zh,top_facets,facet,E2,low,paid,zh-CN,合群 low,合群处于low区间（百分位 {{facets.E2.percentile}}）。
facet_deep_E2_low_en,facets_deepdive,facet,E2,low,paid,en,Gregariousness low,Detailed insight: Gregariousness is low ({{facets.E2.percentile}}th percentile).
facet_deep_E2_low_zh,facets_deepdive,facet,E2,low,paid,zh-CN,合群 low,深入解读：合群处于low区间（百分位 {{facets.E2.percentile}}）。
facet_top_E2_high_en,top_facets,facet,E2,high,paid,en,Gregariousness high,Gregariousness is high ({{facets.E2.percentile}}th percentile).
facet_top_E2_high_zh,top_facets,facet,E2,high,paid,zh-CN,合群 high,合群处于high区间（百分位 {{facets.E2.percentile}}）。
facet_deep_E2_high_en,facets_deepdive,facet,E2,high,paid,en,Gregariousness high,Detailed insight: Gregariousness is high ({{facets.E2.percentile}}th percentile).
facet_deep_E2_high_zh,facets_deepdive,facet,E2,high,paid,zh-CN,合群 high,深入解读：合群处于high区间（百分位 {{facets.E2.percentile}}）。
facet_top_E3_low_en,top_facets,facet,E3,low,paid,en,Assertiveness low,Assertiveness is low ({{facets.E3.percentile}}th percentile).
facet_top_E3_low_zh,top_facets,facet,E3,low,paid,zh-CN,果断表达 low,果断表达处于low区间（百分位 {{facets.E3.percentile}}）。
facet_deep_E3_low_en,facets_deepdive,facet,E3,low,paid,en,Assertiveness low,Detailed insight: Assertiveness is low ({{facets.E3.percentile}}th percentile).
facet_deep_E3_low_zh,facets_deepdive,facet,E3,low,paid,zh-CN,果断表达 low,深入解读：果断表达处于low区间（百分位 {{facets.E3.percentile}}）。
facet_top_E3_high_en,top_facets,facet,E3,high,paid,en,Assertiveness high,Assertiveness is high ({{facets.E3.percentile}}th percentile).
facet_top_E3_high_zh,top_facets,facet,E3,high,paid,zh-CN,果断表达 high,果断表达处于high区间（百分位 {{facets.E3.percentile}}）。
facet_deep_E3_high_en,facets_deepdive,facet,E3,high,paid,en,Assertiveness high,Detailed insight: Assertiveness is high ({{facets.E3.percentile}}th percentile).
facet_deep_E3_high_zh,facets_deepdive,facet,E3,high,paid,zh-CN,果断表达 high,深入解读：果断表达处于high区间（百分位 {{facets.E3.percentile}}）。
facet_top_E4_low_en,top_facets,facet,E4,low,paid,en,Activity Level low,Activity Level is low ({{facets.E4.percentile}}th percentile).
facet_top_E4_low_zh,top_facets,facet,E4,low,paid,zh-CN,活跃度 low,活跃度处于low区间（百分位 {{facets.E4.percentile}}）。
facet_deep_E4_low_en,facets_deepdive,facet,E4,low,paid,en,Activity Level low,Detailed insight: Activity Level is low ({{facets.E4.percentile}}th percentile).
facet_deep_E4_low_zh,facets_deepdive,facet,E4,low,paid,zh-CN,活跃度 low,深入解读：活跃度处于low区间（百分位 {{facets.E4.percentile}}）。
facet_top_E4_high_en,top_facets,facet,E4,high,paid,en,Activity Level high,Activity Level is high ({{facets.E4.percentile}}th percentile).
facet_top_E4_high_zh,top_facets,facet,E4,high,paid,zh-CN,活跃度 high,活跃度处于high区间（百分位 {{facets.E4.percentile}}）。
facet_deep_E4_high_en,facets_deepdive,facet,E4,high,paid,en,Activity Level high,Detailed insight: Activity Level is high ({{facets.E4.percentile}}th percentile).
facet_deep_E4_high_zh,facets_deepdive,facet,E4,high,paid,zh-CN,活跃度 high,深入解读：活跃度处于high区间（百分位 {{facets.E4.percentile}}）。
facet_top_E5_low_en,top_facets,facet,E5,low,paid,en,Excitement-Seeking low,Excitement-Seeking is low ({{facets.E5.percentile}}th percentile).
facet_top_E5_low_zh,top_facets,facet,E5,low,paid,zh-CN,刺激追求 low,刺激追求处于low区间（百分位 {{facets.E5.percentile}}）。
facet_deep_E5_low_en,facets_deepdive,facet,E5,low,paid,en,Excitement-Seeking low,Detailed insight: Excitement-Seeking is low ({{facets.E5.percentile}}th percentile).
facet_deep_E5_low_zh,facets_deepdive,facet,E5,low,paid,zh-CN,刺激追求 low,深入解读：刺激追求处于low区间（百分位 {{facets.E5.percentile}}）。
facet_top_E5_high_en,top_facets,facet,E5,high,paid,en,Excitement-Seeking high,Excitement-Seeking is high ({{facets.E5.percentile}}th percentile).
facet_top_E5_high_zh,top_facets,facet,E5,high,paid,zh-CN,刺激追求 high,刺激追求处于high区间（百分位 {{facets.E5.percentile}}）。
facet_deep_E5_high_en,facets_deepdive,facet,E5,high,paid,en,Excitement-Seeking high,Detailed insight: Excitement-Seeking is high ({{facets.E5.percentile}}th percentile).
facet_deep_E5_high_zh,facets_deepdive,facet,E5,high,paid,zh-CN,刺激追求 high,深入解读：刺激追求处于high区间（百分位 {{facets.E5.percentile}}）。
facet_top_E6_low_en,top_facets,facet,E6,low,paid,en,Cheerfulness low,Cheerfulness is low ({{facets.E6.percentile}}th percentile).
facet_top_E6_low_zh,top_facets,facet,E6,low,paid,zh-CN,乐观愉悦 low,乐观愉悦处于low区间（百分位 {{facets.E6.percentile}}）。
facet_deep_E6_low_en,facets_deepdive,facet,E6,low,paid,en,Cheerfulness low,Detailed insight: Cheerfulness is low ({{facets.E6.percentile}}th percentile).
facet_deep_E6_low_zh,facets_deepdive,facet,E6,low,paid,zh-CN,乐观愉悦 low,深入解读：乐观愉悦处于low区间（百分位 {{facets.E6.percentile}}）。
facet_top_E6_high_en,top_facets,facet,E6,high,paid,en,Cheerfulness high,Cheerfulness is high ({{facets.E6.percentile}}th percentile).
facet_top_E6_high_zh,top_facets,facet,E6,high,paid,zh-CN,乐观愉悦 high,乐观愉悦处于high区间（百分位 {{facets.E6.percentile}}）。
facet_deep_E6_high_en,facets_deepdive,facet,E6,high,paid,en,Cheerfulness high,Detailed insight: Cheerfulness is high ({{facets.E6.percentile}}th percentile).
facet_deep_E6_high_zh,facets_deepdive,facet,E6,high,paid,zh-CN,乐观愉悦 high,深入解读：乐观愉悦处于high区间（百分位 {{facets.E6.percentile}}）。
facet_top_O1_low_en,top_facets,facet,O1,low,paid,en,Imagination low,Imagination is low ({{facets.O1.percentile}}th percentile).
facet_top_O1_low_zh,top_facets,facet,O1,low,paid,zh-CN,想象力 low,想象力处于low区间（百分位 {{facets.O1.percentile}}）。
facet_deep_O1_low_en,facets_deepdive,facet,O1,low,paid,en,Imagination low,Detailed insight: Imagination is low ({{facets.O1.percentile}}th percentile).
facet_deep_O1_low_zh,facets_deepdive,facet,O1,low,paid,zh-CN,想象力 low,深入解读：想象力处于low区间（百分位 {{facets.O1.percentile}}）。
facet_top_O1_high_en,top_facets,facet,O1,high,paid,en,Imagination high,Imagination is high ({{facets.O1.percentile}}th percentile).
facet_top_O1_high_zh,top_facets,facet,O1,high,paid,zh-CN,想象力 high,想象力处于high区间（百分位 {{facets.O1.percentile}}）。
facet_deep_O1_high_en,facets_deepdive,facet,O1,high,paid,en,Imagination high,Detailed insight: Imagination is high ({{facets.O1.percentile}}th percentile).
facet_deep_O1_high_zh,facets_deepdive,facet,O1,high,paid,zh-CN,想象力 high,深入解读：想象力处于high区间（百分位 {{facets.O1.percentile}}）。
facet_top_O2_low_en,top_facets,facet,O2,low,paid,en,Artistic Interests low,Artistic Interests is low ({{facets.O2.percentile}}th percentile).
facet_top_O2_low_zh,top_facets,facet,O2,low,paid,zh-CN,艺术兴趣 low,艺术兴趣处于low区间（百分位 {{facets.O2.percentile}}）。
facet_deep_O2_low_en,facets_deepdive,facet,O2,low,paid,en,Artistic Interests low,Detailed insight: Artistic Interests is low ({{facets.O2.percentile}}th percentile).
facet_deep_O2_low_zh,facets_deepdive,facet,O2,low,paid,zh-CN,艺术兴趣 low,深入解读：艺术兴趣处于low区间（百分位 {{facets.O2.percentile}}）。
facet_top_O2_high_en,top_facets,facet,O2,high,paid,en,Artistic Interests high,Artistic Interests is high ({{facets.O2.percentile}}th percentile).
facet_top_O2_high_zh,top_facets,facet,O2,high,paid,zh-CN,艺术兴趣 high,艺术兴趣处于high区间（百分位 {{facets.O2.percentile}}）。
facet_deep_O2_high_en,facets_deepdive,facet,O2,high,paid,en,Artistic Interests high,Detailed insight: Artistic Interests is high ({{facets.O2.percentile}}th percentile).
facet_deep_O2_high_zh,facets_deepdive,facet,O2,high,paid,zh-CN,艺术兴趣 high,深入解读：艺术兴趣处于high区间（百分位 {{facets.O2.percentile}}）。
facet_top_O3_low_en,top_facets,facet,O3,low,paid,en,Emotionality low,Emotionality is low ({{facets.O3.percentile}}th percentile).
facet_top_O3_low_zh,top_facets,facet,O3,low,paid,zh-CN,情感感受性 low,情感感受性处于low区间（百分位 {{facets.O3.percentile}}）。
facet_deep_O3_low_en,facets_deepdive,facet,O3,low,paid,en,Emotionality low,Detailed insight: Emotionality is low ({{facets.O3.percentile}}th percentile).
facet_deep_O3_low_zh,facets_deepdive,facet,O3,low,paid,zh-CN,情感感受性 low,深入解读：情感感受性处于low区间（百分位 {{facets.O3.percentile}}）。
facet_top_O3_high_en,top_facets,facet,O3,high,paid,en,Emotionality high,Emotionality is high ({{facets.O3.percentile}}th percentile).
facet_top_O3_high_zh,top_facets,facet,O3,high,paid,zh-CN,情感感受性 high,情感感受性处于high区间（百分位 {{facets.O3.percentile}}）。
facet_deep_O3_high_en,facets_deepdive,facet,O3,high,paid,en,Emotionality high,Detailed insight: Emotionality is high ({{facets.O3.percentile}}th percentile).
facet_deep_O3_high_zh,facets_deepdive,facet,O3,high,paid,zh-CN,情感感受性 high,深入解读：情感感受性处于high区间（百分位 {{facets.O3.percentile}}）。
facet_top_O4_low_en,top_facets,facet,O4,low,paid,en,Adventurousness low,Adventurousness is low ({{facets.O4.percentile}}th percentile).
facet_top_O4_low_zh,top_facets,facet,O4,low,paid,zh-CN,冒险尝新 low,冒险尝新处于low区间（百分位 {{facets.O4.percentile}}）。
facet_deep_O4_low_en,facets_deepdive,facet,O4,low,paid,en,Adventurousness low,Detailed insight: Adventurousness is low ({{facets.O4.percentile}}th percentile).
facet_deep_O4_low_zh,facets_deepdive,facet,O4,low,paid,zh-CN,冒险尝新 low,深入解读：冒险尝新处于low区间（百分位 {{facets.O4.percentile}}）。
facet_top_O4_high_en,top_facets,facet,O4,high,paid,en,Adventurousness high,Adventurousness is high ({{facets.O4.percentile}}th percentile).
facet_top_O4_high_zh,top_facets,facet,O4,high,paid,zh-CN,冒险尝新 high,冒险尝新处于high区间（百分位 {{facets.O4.percentile}}）。
facet_deep_O4_high_en,facets_deepdive,facet,O4,high,paid,en,Adventurousness high,Detailed insight: Adventurousness is high ({{facets.O4.percentile}}th percentile).
facet_deep_O4_high_zh,facets_deepdive,facet,O4,high,paid,zh-CN,冒险尝新 high,深入解读：冒险尝新处于high区间（百分位 {{facets.O4.percentile}}）。
facet_top_O5_low_en,top_facets,facet,O5,low,paid,en,Intellect low,Intellect is low ({{facets.O5.percentile}}th percentile).
facet_top_O5_low_zh,top_facets,facet,O5,low,paid,zh-CN,思辨智性 low,思辨智性处于low区间（百分位 {{facets.O5.percentile}}）。
facet_deep_O5_low_en,facets_deepdive,facet,O5,low,paid,en,Intellect low,Detailed insight: Intellect is low ({{facets.O5.percentile}}th percentile).
facet_deep_O5_low_zh,facets_deepdive,facet,O5,low,paid,zh-CN,思辨智性 low,深入解读：思辨智性处于low区间（百分位 {{facets.O5.percentile}}）。
facet_top_O5_high_en,top_facets,facet,O5,high,paid,en,Intellect high,Intellect is high ({{facets.O5.percentile}}th percentile).
facet_top_O5_high_zh,top_facets,facet,O5,high,paid,zh-CN,思辨智性 high,思辨智性处于high区间（百分位 {{facets.O5.percentile}}）。
facet_deep_O5_high_en,facets_deepdive,facet,O5,high,paid,en,Intellect high,Detailed insight: Intellect is high ({{facets.O5.percentile}}th percentile).
facet_deep_O5_high_zh,facets_deepdive,facet,O5,high,paid,zh-CN,思辨智性 high,深入解读：思辨智性处于high区间（百分位 {{facets.O5.percentile}}）。
facet_top_O6_low_en,top_facets,facet,O6,low,paid,en,Liberalism low,Liberalism is low ({{facets.O6.percentile}}th percentile).
facet_top_O6_low_zh,top_facets,facet,O6,low,paid,zh-CN,价值开放 low,价值开放处于low区间（百分位 {{facets.O6.percentile}}）。
facet_deep_O6_low_en,facets_deepdive,facet,O6,low,paid,en,Liberalism low,Detailed insight: Liberalism is low ({{facets.O6.percentile}}th percentile).
facet_deep_O6_low_zh,facets_deepdive,facet,O6,low,paid,zh-CN,价值开放 low,深入解读：价值开放处于low区间（百分位 {{facets.O6.percentile}}）。
facet_top_O6_high_en,top_facets,facet,O6,high,paid,en,Liberalism high,Liberalism is high ({{facets.O6.percentile}}th percentile).
facet_top_O6_high_zh,top_facets,facet,O6,high,paid,zh-CN,价值开放 high,价值开放处于high区间（百分位 {{facets.O6.percentile}}）。
facet_deep_O6_high_en,facets_deepdive,facet,O6,high,paid,en,Liberalism high,Detailed insight: Liberalism is high ({{facets.O6.percentile}}th percentile).
facet_deep_O6_high_zh,facets_deepdive,facet,O6,high,paid,zh-CN,价值开放 high,深入解读：价值开放处于high区间（百分位 {{facets.O6.percentile}}）。
facet_top_A1_low_en,top_facets,facet,A1,low,paid,en,Trust low,Trust is low ({{facets.A1.percentile}}th percentile).
facet_top_A1_low_zh,top_facets,facet,A1,low,paid,zh-CN,信任 low,信任处于low区间（百分位 {{facets.A1.percentile}}）。
facet_deep_A1_low_en,facets_deepdive,facet,A1,low,paid,en,Trust low,Detailed insight: Trust is low ({{facets.A1.percentile}}th percentile).
facet_deep_A1_low_zh,facets_deepdive,facet,A1,low,paid,zh-CN,信任 low,深入解读：信任处于low区间（百分位 {{facets.A1.percentile}}）。
facet_top_A1_high_en,top_facets,facet,A1,high,paid,en,Trust high,Trust is high ({{facets.A1.percentile}}th percentile).
facet_top_A1_high_zh,top_facets,facet,A1,high,paid,zh-CN,信任 high,信任处于high区间（百分位 {{facets.A1.percentile}}）。
facet_deep_A1_high_en,facets_deepdive,facet,A1,high,paid,en,Trust high,Detailed insight: Trust is high ({{facets.A1.percentile}}th percentile).
facet_deep_A1_high_zh,facets_deepdive,facet,A1,high,paid,zh-CN,信任 high,深入解读：信任处于high区间（百分位 {{facets.A1.percentile}}）。
facet_top_A2_low_en,top_facets,facet,A2,low,paid,en,Morality low,Morality is low ({{facets.A2.percentile}}th percentile).
facet_top_A2_low_zh,top_facets,facet,A2,low,paid,zh-CN,道德坦诚 low,道德坦诚处于low区间（百分位 {{facets.A2.percentile}}）。
facet_deep_A2_low_en,facets_deepdive,facet,A2,low,paid,en,Morality low,Detailed insight: Morality is low ({{facets.A2.percentile}}th percentile).
facet_deep_A2_low_zh,facets_deepdive,facet,A2,low,paid,zh-CN,道德坦诚 low,深入解读：道德坦诚处于low区间（百分位 {{facets.A2.percentile}}）。
facet_top_A2_high_en,top_facets,facet,A2,high,paid,en,Morality high,Morality is high ({{facets.A2.percentile}}th percentile).
facet_top_A2_high_zh,top_facets,facet,A2,high,paid,zh-CN,道德坦诚 high,道德坦诚处于high区间（百分位 {{facets.A2.percentile}}）。
facet_deep_A2_high_en,facets_deepdive,facet,A2,high,paid,en,Morality high,Detailed insight: Morality is high ({{facets.A2.percentile}}th percentile).
