question_id,module_code,options_set_code,is_reverse,text_zh
37,M3,M3_AGREE_1_5,0,"我的父母曾希望我在各方面都特别出色。"
38,M3,M3_AGREE_1_5,0,"比起大多数人，我给自己定下更高的目标。"
39,M3,M3_AGREE_1_5,0,"看到别人比我做得好时，我会强烈地否定自己。"
40,M3,M3_AGREE_1_5,0,"只要有一部分做得不好，我就会觉得“整体都失败了”。"
41,M3,M3_AGREE_1_5,0,"即使很认真做事，我也常觉得哪里不对、需要再确认。"
42,M3,M3_AGREE_1_5,0,"我讨厌事情做不到最好。"
43,M3,M3_AGREE_1_5,0,"我对自己有非常高的目标。"
44,M3,M3_AGREE_1_5,0,"我的父母曾经期望我表现特别出色。"
45,M3,M3_AGREE_1_5,0,"我担心犯错会让别人看轻我。"
46,M3,M3_AGREE_1_5,0,"我做不到和别人一样好时，会觉得自己很差劲。"
47,M3,M3_AGREE_1_5,0,"我常觉得别人能接受更低的标准，但我做不到。"
48,M3,M3_AGREE_1_5,0,"我做得不够好时，会担心失去他人的尊敬。"
49,M3,M3_AGREE_1_5,0,"我的父母对我的未来期望，通常比我自己还要高。"
50,M3,M3_AGREE_1_5,0,"我会努力让自己的生活和工作空间保持整洁。"
51,M3,M3_AGREE_1_5,0,"我经常对自己做过的小事产生怀疑，总想再检查一次。"
52,M3,M3_AGREE_1_5,0,"整洁对我来说非常重要。"
53,M3,M3_AGREE_1_5,0,"我要求自己在每天的学习或工作中都拿到更好的结果。"
54,M3,M3_AGREE_1_5,0,"我认为自己是一个有条理的人。"
55,M3,M3_AGREE_1_5,0,"我会因为反复检查或重复确认而拖慢工作/学习进度。"
56,M3,M3_AGREE_1_5,0,"我往往需要花很长时间，才能把一件事做到让自己“足够安心”。"
57,M3,M3_AGREE_1_5,0,"我很难达到父母为我设定的标准。"
58,M4,M4_OCD_THOUGHT_TIME,0,"最近 7 天里，强迫思维（反复出现不需要的想法，如反复怀疑门没锁）日均占用时间。"
59,M4,M4_OCD_THOUGHT_IMPAIR,0,"强迫思维对您的社交或工作干扰程度。"
60,M4,M4_OCD_THOUGHT_DISTRESS,0,"强迫思维给您带来的痛苦程度。"
61,M4,M4_OCD_THOUGHT_RESIST,0,"您对抗强迫思维的努力程度。"
62,M4,M4_OCD_THOUGHT_CONTROL,0,"您控制强迫思维的能力。"
63,M4,M4_OCD_COMP_TIME,0,"最近 7 天里，强迫行为（为了减轻焦虑不得不做的重复动作，如反复洗手）日均占用时间。"
64,M4,M4_OCD_COMP_IMPAIR,0,"强迫行为对您的社交或工作干扰程度。"
65,M4,M4_OCD_COMP_BLOCK_ANXIETY,0,"假如强迫行为被阻止时，您的焦虑程度。"
66,M4,M4_OCD_COMP_RESIST,0,"您对抗强迫行为的努力程度。"
67,M4,M4_OCD_COMP_CONTROL,0,"您控制强迫行为的能力。"
68,M4,M4_FUNCTION_IMPAIR,0,"总体而言，上述的情绪、压力或强迫习惯，对您的日常正常生活（如工作效率、人际交往、照顾自己）造成了多大的干扰？"
