question_id,dimension,direction,text_en,text_zh
51,RM,1,"I am a very persuasive person.","我具有很强的说服力，很容易让别人接受我的观点。"
52,RM,-1,"I don't really like networking.","我其实很反感那种刻意逢迎的功利性社交（Networking）。"
53,RM,-1,"I try not to draw attention to myself.","在人群中，我总是尽量降低存在感，不想引起别人的注意。"
54,RM,1,"I bring fun and excitement to social gatherings.","只要有我在的聚会，绝对少不了欢乐和高潮。"
55,RM,1,"I really enjoy getting to know people better.","我对深度了解别人充满热情，喜欢和人建立真实的连接。"
56,RM,1,"I have valuable friendships that I enjoy.","我拥有几段让我倍感珍惜和享受的高质量友谊。"
57,RM,-1,"I feel shy in social interactions.","在和人打交道时，我常常会觉得有些局促和害羞。"
58,RM,1,"I enjoy working together with others.","我非常享受和团队成员并肩作战、协同配合的感觉。"
59,RM,1,"I am a good listener.","我是一个绝佳的倾听者，别人都愿意对我敞开心扉。"
60,RM,1,"Other people see me as a warm and kind person.","在别人眼里，我是一个非常有温度、随和友善的人。"
