profile_key,profile_label_zh,section_key,asset_key,internal_combination_key,primary_couplings,top_facet_routes,status
vigilant_perfectionist,戒备型完美主义者,facet_details,big5_canonical_profile_vigilant_perfectionist_facet_details_v0_1,O3_C5_E3_A3_N5,c_high_x_n_high,C6_high_reframe|C2_high_reframe|N1_high_reframe|N3_high_reframe,PASS
vigilant_perfectionist,戒备型完美主义者,core_portrait,big5_canonical_profile_vigilant_perfectionist_core_portrait_v0_1,O3_C5_E3_A3_N5,c_high_x_n_high,C6_high_reframe|C2_high_reframe|N1_high_reframe|N3_high_reframe,PASS
vigilant_perfectionist,戒备型完美主义者,norms_comparison,big5_canonical_profile_vigilant_perfectionist_norms_comparison_v0_1,O3_C5_E3_A3_N5,c_high_x_n_high,C6_high_reframe|C2_high_reframe|N1_high_reframe|N3_high_reframe,PASS
vigilant_perfectionist,戒备型完美主义者,action_plan,big5_canonical_profile_vigilant_perfectionist_action_plan_v0_1,O3_C5_E3_A3_N5,c_high_x_n_high,C6_high_reframe|C2_high_reframe|N1_high_reframe|N3_high_reframe,PASS
vigilant_perfectionist,戒备型完美主义者,methodology_and_access,big5_canonical_profile_vigilant_perfectionist_methodology_and_access_v0_1,O3_C5_E3_A3_N5,c_high_x_n_high,C6_high_reframe|C2_high_reframe|N1_high_reframe|N3_high_reframe,PASS
complex_explorer_low_structure,复杂理解型探索者,hero_summary,big5_canonical_profile_complex_explorer_low_structure_hero_summary_v0_1,O5_C2_E3_A3_N3,o_high_x_c_low,O5_high_reframe|O1_high_reframe|C5_low_reframe|C4_low_reframe,PASS
complex_explorer_low_structure,复杂理解型探索者,domains_overview,big5_canonical_profile_complex_explorer_low_structure_domains_overview_v0_1,O5_C2_E3_A3_N3,o_high_x_c_low,O5_high_reframe|O1_high_reframe|C5_low_reframe|C4_low_reframe,PASS
complex_explorer_low_structure,复杂理解型探索者,domain_deep_dive,big5_canonical_profile_complex_explorer_low_structure_domain_deep_dive_v0_1,O5_C2_E3_A3_N3,o_high_x_c_low,O5_high_reframe|O1_high_reframe|C5_low_reframe|C4_low_reframe,PASS
complex_explorer_low_structure,复杂理解型探索者,facet_details,big5_canonical_profile_complex_explorer_low_structure_facet_details_v0_1,O5_C2_E3_A3_N3,o_high_x_c_low,O5_high_reframe|O1_high_reframe|C5_low_reframe|C4_low_reframe,PASS
complex_explorer_low_structure,复杂理解型探索者,core_portrait,big5_canonical_profile_complex_explorer_low_structure_core_portrait_v0_1,O5_C2_E3_A3_N3,o_high_x_c_low,O5_high_reframe|O1_high_reframe|C5_low_reframe|C4_low_reframe,PASS
complex_explorer_low_structure,复杂理解型探索者,norms_comparison,big5_canonical_profile_complex_explorer_low_structure_norms_comparison_v0_1,O5_C2_E3_A3_N3,o_high_x_c_low,O5_high_reframe|O1_high_reframe|C5_low_reframe|C4_low_reframe,PASS
complex_explorer_low_structure,复杂理解型探索者,action_plan,big5_canonical_profile_complex_explorer_low_structure_action_plan_v0_1,O5_C2_E3_A3_N3,o_high_x_c_low,O5_high_reframe|O1_high_reframe|C5_low_reframe|C4_low_reframe,PASS
complex_explorer_low_structure,复杂理解型探索者,methodology_and_access,big5_canonical_profile_complex_explorer_low_structure_methodology_and_access_v0_1,O5_C2_E3_A3_N3,o_high_x_c_low,O5_high_reframe|O1_high_reframe|C5_low_reframe|C4_low_reframe,PASS
quiet_deep_worker,稳态深工者,hero_summary,big5_canonical_profile_quiet_deep_worker_hero_summary_v0_1,O3_C5_E2_A3_N1,e_low_x_c_high,C5_high_reframe|C4_high_reframe|E3_low_reframe|N1_low_reframe,PASS
quiet_deep_worker,稳态深工者,domains_overview,big5_canonical_profile_quiet_deep_worker_domains_overview_v0_1,O3_C5_E2_A3_N1,e_low_x_c_high,C5_high_reframe|C4_high_reframe|E3_low_reframe|N1_low_reframe,PASS
quiet_deep_worker,稳态深工者,domain_deep_dive,big5_canonical_profile_quiet_deep_worker_domain_deep_dive_v0_1,O3_C5_E2_A3_N1,e_low_x_c_high,C5_high_reframe|C4_high_reframe|E3_low_reframe|N1_low_reframe,PASS
quiet_deep_worker,稳态深工者,facet_details,big5_canonical_profile_quiet_deep_worker_facet_details_v0_1,O3_C5_E2_A3_N1,e_low_x_c_high,C5_high_reframe|C4_high_reframe|E3_low_reframe|N1_low_reframe,PASS
quiet_deep_worker,稳态深工者,core_portrait,big5_canonical_profile_quiet_deep_worker_core_portrait_v0_1,O3_C5_E2_A3_N1,e_low_x_c_high,C5_high_reframe|C4_high_reframe|E3_low_reframe|N1_low_reframe,PASS
quiet_deep_worker,稳态深工者,norms_comparison,big5_canonical_profile_quiet_deep_worker_norms_comparison_v0_1,O3_C5_E2_A3_N1,e_low_x_c_high,C5_high_reframe|C4_high_reframe|E3_low_reframe|N1_low_reframe,PASS
quiet_deep_worker,稳态深工者,action_plan,big5_canonical_profile_quiet_deep_worker_action_plan_v0_1,O3_C5_E2_A3_N1,e_low_x_c_high,C5_high_reframe|C4_high_reframe|E3_low_reframe|N1_low_reframe,PASS
quiet_deep_worker,稳态深工者,methodology_and_access,big5_canonical_profile_quiet_deep_worker_methodology_and_access_v0_1,O3_C5_E2_A3_N1,e_low_x_c_high,C5_high_reframe|C4_high_reframe|E3_low_reframe|N1_low_reframe,PASS
connective_coordinator,连接驱动协调者,hero_summary,big5_canonical_profile_connective_coordinator_hero_summary_v0_1,O3_C3_E5_A5_N1,e_high_x_a_high,E1_high_reframe|E2_high_reframe|A3_high_reframe|N1_low_reframe,PASS
connective_coordinator,连接驱动协调者,domains_overview,big5_canonical_profile_connective_coordinator_domains_overview_v0_1,O3_C3_E5_A5_N1,e_high_x_a_high,E1_high_reframe|E2_high_reframe|A3_high_reframe|N1_low_reframe,PASS
connective_coordinator,连接驱动协调者,domain_deep_dive,big5_canonical_profile_connective_coordinator_domain_deep_dive_v0_1,O3_C3_E5_A5_N1,e_high_x_a_high,E1_high_reframe|E2_high_reframe|A3_high_reframe|N1_low_reframe,PASS
connective_coordinator,连接驱动协调者,facet_details,big5_canonical_profile_connective_coordinator_facet_details_v0_1,O3_C3_E5_A5_N1,e_high_x_a_high,E1_high_reframe|E2_high_reframe|A3_high_reframe|N1_low_reframe,PASS
connective_coordinator,连接驱动协调者,core_portrait,big5_canonical_profile_connective_coordinator_core_portrait_v0_1,O3_C3_E5_A5_N1,e_high_x_a_high,E1_high_reframe|E2_high_reframe|A3_high_reframe|N1_low_reframe,PASS
connective_coordinator,连接驱动协调者,norms_comparison,big5_canonical_profile_connective_coordinator_norms_comparison_v0_1,O3_C3_E5_A5_N1,e_high_x_a_high,E1_high_reframe|E2_high_reframe|A3_high_reframe|N1_low_reframe,PASS
connective_coordinator,连接驱动协调者,action_plan,big5_canonical_profile_connective_coordinator_action_plan_v0_1,O3_C3_E5_A5_N1,e_high_x_a_high,E1_high_reframe|E2_high_reframe|A3_high_reframe|N1_low_reframe,PASS
connective_coordinator,连接驱动协调者,methodology_and_access,big5_canonical_profile_connective_coordinator_methodology_and_access_v0_1,O3_C3_E5_A5_N1,e_high_x_a_high,E1_high_reframe|E2_high_reframe|A3_high_reframe|N1_low_reframe,PASS
sharp_exploratory_driver,锋利探索推进者,hero_summary,big5_canonical_profile_sharp_exploratory_driver_hero_summary_v0_1,O5_C3_E5_A1_N3,o_high_x_a_low,O5_high_reframe|E3_high_reframe|A4_low_reframe|A1_low_reframe,PASS
sharp_exploratory_driver,锋利探索推进者,domains_overview,big5_canonical_profile_sharp_exploratory_driver_domains_overview_v0_1,O5_C3_E5_A1_N3,o_high_x_a_low,O5_high_reframe|E3_high_reframe|A4_low_reframe|A1_low_reframe,PASS
sharp_exploratory_driver,锋利探索推进者,domain_deep_dive,big5_canonical_profile_sharp_exploratory_driver_domain_deep_dive_v0_1,O5_C3_E5_A1_N3,o_high_x_a_low,O5_high_reframe|E3_high_reframe|A4_low_reframe|A1_low_reframe,PASS
sharp_exploratory_driver,锋利探索推进者,facet_details,big5_canonical_profile_sharp_exploratory_driver_facet_details_v0_1,O5_C3_E5_A1_N3,o_high_x_a_low,O5_high_reframe|E3_high_reframe|A4_low_reframe|A1_low_reframe,PASS
sharp_exploratory_driver,锋利探索推进者,core_portrait,big5_canonical_profile_sharp_exploratory_driver_core_portrait_v0_1,O5_C3_E5_A1_N3,o_high_x_a_low,O5_high_reframe|E3_high_reframe|A4_low_reframe|A1_low_reframe,PASS
sharp_exploratory_driver,锋利探索推进者,norms_comparison,big5_canonical_profile_sharp_exploratory_driver_norms_comparison_v0_1,O5_C3_E5_A1_N3,o_high_x_a_low,O5_high_reframe|E3_high_reframe|A4_low_reframe|A1_low_reframe,PASS
sharp_exploratory_driver,锋利探索推进者,action_plan,big5_canonical_profile_sharp_exploratory_driver_action_plan_v0_1,O5_C3_E5_A1_N3,o_high_x_a_low,O5_high_reframe|E3_high_reframe|A4_low_reframe|A1_low_reframe,PASS
sharp_exploratory_driver,锋利探索推进者,methodology_and_access,big5_canonical_profile_sharp_exploratory_driver_methodology_and_access_v0_1,O5_C3_E5_A1_N3,o_high_x_a_low,O5_high_reframe|E3_high_reframe|A4_low_reframe|A1_low_reframe,PASS
orderly_supporter,秩序维护型支持者,hero_summary,big5_canonical_profile_orderly_supporter_hero_summary_v0_1,O1_C5_E3_A5_N2,o_low_x_c_high,C2_high_reframe|C3_high_reframe|A4_high_reframe|O4_low_reframe,PASS
orderly_supporter,秩序维护型支持者,domains_overview,big5_canonical_profile_orderly_supporter_domains_overview_v0_1,O1_C5_E3_A5_N2,o_low_x_c_high,C2_high_reframe|C3_high_reframe|A4_high_reframe|O4_low_reframe,PASS
orderly_supporter,秩序维护型支持者,domain_deep_dive,big5_canonical_profile_orderly_supporter_domain_deep_dive_v0_1,O1_C5_E3_A5_N2,o_low_x_c_high,C2_high_reframe|C3_high_reframe|A4_high_reframe|O4_low_reframe,PASS
orderly_supporter,秩序维护型支持者,facet_details,big5_canonical_profile_orderly_supporter_facet_details_v0_1,O1_C5_E3_A5_N2,o_low_x_c_high,C2_high_reframe|C3_high_reframe|A4_high_reframe|O4_low_reframe,PASS
orderly_supporter,秩序维护型支持者,core_portrait,big5_canonical_profile_orderly_supporter_core_portrait_v0_1,O1_C5_E3_A5_N2,o_low_x_c_high,C2_high_reframe|C3_high_reframe|A4_high_reframe|O4_low_reframe,PASS
orderly_supporter,秩序维护型支持者,norms_comparison,big5_canonical_profile_orderly_supporter_norms_comparison_v0_1,O1_C5_E3_A5_N2,o_low_x_c_high,C2_high_reframe|C3_high_reframe|A4_high_reframe|O4_low_reframe,PASS
orderly_supporter,秩序维护型支持者,action_plan,big5_canonical_profile_orderly_supporter_action_plan_v0_1,O1_C5_E3_A5_N2,o_low_x_c_high,C2_high_reframe|C3_high_reframe|A4_high_reframe|O4_low_reframe,PASS
orderly_supporter,秩序维护型支持者,methodology_and_access,big5_canonical_profile_orderly_supporter_methodology_and_access_v0_1,O1_C5_E3_A5_N2,o_low_x_c_high,C2_high_reframe|C3_high_reframe|A4_high_reframe|O4_low_reframe,PASS
overloaded_internalizer,高负荷内耗型,hero_summary,big5_canonical_profile_overloaded_internalizer_hero_summary_v0_1,O3_C2_E2_A3_N5,n_high_x_e_low|c_low_x_n_high,N1_high_reframe|N3_high_reframe|N5_high_reframe|C5_low_reframe|E6_low_reframe,PASS
overloaded_internalizer,高负荷内耗型,domains_overview,big5_canonical_profile_overloaded_internalizer_domains_overview_v0_1,O3_C2_E2_A3_N5,n_high_x_e_low|c_low_x_n_high,N1_high_reframe|N3_high_reframe|N5_high_reframe|C5_low_reframe|E6_low_reframe,PASS
overloaded_internalizer,高负荷内耗型,domain_deep_dive,big5_canonical_profile_overloaded_internalizer_domain_deep_dive_v0_1,O3_C2_E2_A3_N5,n_high_x_e_low|c_low_x_n_high,N1_high_reframe|N3_high_reframe|N5_high_reframe|C5_low_reframe|E6_low_reframe,PASS
overloaded_internalizer,高负荷内耗型,facet_details,big5_canonical_profile_overloaded_internalizer_facet_details_v0_1,O3_C2_E2_A3_N5,n_high_x_e_low|c_low_x_n_high,N1_high_reframe|N3_high_reframe|N5_high_reframe|C5_low_reframe|E6_low_reframe,PASS
overloaded_internalizer,高负荷内耗型,core_portrait,big5_canonical_profile_overloaded_internalizer_core_portrait_v0_1,O3_C2_E2_A3_N5,n_high_x_e_low|c_low_x_n_high,N1_high_reframe|N3_high_reframe|N5_high_reframe|C5_low_reframe|E6_low_reframe,PASS
overloaded_internalizer,高负荷内耗型,norms_comparison,big5_canonical_profile_overloaded_internalizer_norms_comparison_v0_1,O3_C2_E2_A3_N5,n_high_x_e_low|c_low_x_n_high,N1_high_reframe|N3_high_reframe|N5_high_reframe|C5_low_reframe|E6_low_reframe,PASS
overloaded_internalizer,高负荷内耗型,action_plan,big5_canonical_profile_overloaded_internalizer_action_plan_v0_1,O3_C2_E2_A3_N5,n_high_x_e_low|c_low_x_n_high,N1_high_reframe|N3_high_reframe|N5_high_reframe|C5_low_reframe|E6_low_reframe,PASS
overloaded_internalizer,高负荷内耗型,methodology_and_access,big5_canonical_profile_overloaded_internalizer_methodology_and_access_v0_1,O3_C2_E2_A3_N5,n_high_x_e_low|c_low_x_n_high,N1_high_reframe|N3_high_reframe|N5_high_reframe|C5_low_reframe|E6_low_reframe,PASS
