asset_index,page_identity,authority_asset_key,entity_type,entity_key,parent_identity,zh_source_path,zh_source_sha256,zh_section_count,zh_faq_count,zh_source_ids,zh_runtime_projection_sha256,zh_canonical_path,target_editorial_locale,backend_locale_contract,en_locked_name,en_slug,en_canonical_path,en_output_path,en_claim_output_path,translation_pr,translation_status
18,agreeableness-low,agreeableness-low,polarity,agreeableness-low,agreeableness,pages/ranges/agreeableness-low.zh-CN.md,1d204261c1e36ce802429fcabf1b1c82d3539200797793cdea7c359ea21350ba,15,4,S1,07675dc60daf4d7b9c3a5178f2c7b630d0819f098b714db39ba2f6483b752fd5,/zh/personality/big-five/agreeableness-low,en-US,en,Low Agreeableness,big-five/agreeableness-low,/en/personality/big-five/agreeableness-low,pages/ranges/agreeableness-low.en-US.md,evidence/agreeableness-low.claims.json,BIG5-EN52-RANGES-04,pending
19,neuroticism-high,neuroticism-high,polarity,neuroticism-high,neuroticism,pages/ranges/neuroticism-high.zh-CN.md,c6a72837f321fd95ef03783545674a05c9f6f3e1f0f804dfd15a1ac91008da99,15,5,S1,773ce9c7b78f35bb31826e5d3ccef2044a6ac97b8ef667786a04eb1bd482585b,/zh/personality/big-five/neuroticism-high,en-US,en,High Neuroticism,big-five/neuroticism-high,/en/personality/big-five/neuroticism-high,pages/ranges/neuroticism-high.en-US.md,evidence/neuroticism-high.claims.json,BIG5-EN52-RANGES-04,pending
20,neuroticism-mid,neuroticism-mid,polarity,neuroticism-mid,neuroticism,pages/ranges/neuroticism-mid.zh-CN.md,fbf0418389909cf7da2508f5de05d4f862c8f2f36916ee5552a80c4fe452ee5b,15,4,S1,e098e8dfa488b6174d317b6aed9557b5a7cecec6aa9d6ef9018b4f2705b431e9,/zh/personality/big-five/neuroticism-mid,en-US,en,Mid-Range Neuroticism,big-five/neuroticism-mid,/en/personality/big-five/neuroticism-mid,pages/ranges/neuroticism-mid.en-US.md,evidence/neuroticism-mid.claims.json,BIG5-EN52-RANGES-04,pending
21,neuroticism-low,neuroticism-low,polarity,neuroticism-low,neuroticism,pages/ranges/neuroticism-low.zh-CN.md,d3999c02445f34c6824f1469e7272d742a049d6a11562e181d8e54e907b08d4a,15,5,S1,2118e682b053ae908c54ebc5369bd37377aaa1f20025bdda6e06a97c9834be5e,/zh/personality/big-five/neuroticism-low,en-US,en,Low Neuroticism,big-five/neuroticism-low,/en/personality/big-five/neuroticism-low,pages/ranges/neuroticism-low.en-US.md,evidence/neuroticism-low.claims.json,BIG5-EN52-RANGES-04,pending
22,facets,facets,facet_hub,facets,big-five,pages/facet-hub/facets.zh-CN.md,8ad44fded97cec742115c54989654717f9247e86d269625f202923be9d2a0555,11,7,"S11,S5",8bea4315f563020839e7792f34941ceafdc3cbd3845c6fba0601b4ac9065ed18,/zh/personality/big-five/facets,en-US,en,The 30 Big Five Facets,big-five/facets,/en/personality/big-five/facets,pages/facet-hub/facets.en-US.md,evidence/facets.claims.json,BIG5-EN52-HUBS-02,pending
23,O1-imagination,O1-imagination,facet_detail,imagination,openness,pages/facets/imagination.zh-CN.md,f9d037306748acb5fbcedf02c01f3bd3b313ae6c6d3bca8d026aaf5cc60e5f5f,16,6,S11,2a9e6ff5d61ce147d15c536407f72cec97e91ab5af141510d1acba2ee37f52fa,/zh/personality/big-five/facets/imagination,en-US,en,Imagination,big-five/facets/imagination,/en/personality/big-five/facets/imagination,pages/facets/imagination.en-US.md,evidence/O1-imagination.claims.json,BIG5-EN52-OPENNESS-FACETS-05,pending
24,O2-aesthetics,O2-aesthetics,facet_detail,aesthetics,openness,pages/facets/aesthetics.zh-CN.md,047c873cb8eba39cab95d2bd5dc3282a0781d81bb98a69b4fb64418daad40056,16,5,S11,953d44b659593096ef56aba9e97ea02dab59f60dc0cd1f781f51779e742e0cab,/zh/personality/big-five/facets/aesthetics,en-US,en,Aesthetics,big-five/facets/aesthetics,/en/personality/big-five/facets/aesthetics,pages/facets/aesthetics.en-US.md,evidence/O2-aesthetics.claims.json,BIG5-EN52-OPENNESS-FACETS-05,pending
25,O3-feelings,O3-feelings,facet_detail,feelings,openness,pages/facets/feelings.zh-CN.md,583340eef72bb8171de58f7d1b9f8e5e2bff1db19005a5c163a427f0a68e0267,16,5,S11,4a47a23db00e28052f1276aaa4ca4d565591be405a7bc809612de53f3af3d2fe,/zh/personality/big-five/facets/feelings,en-US,en,Feelings,big-five/facets/feelings,/en/personality/big-five/facets/feelings,pages/facets/feelings.en-US.md,evidence/O3-feelings.claims.json,BIG5-EN52-OPENNESS-FACETS-05,pending
26,O4-actions,O4-actions,facet_detail,actions,openness,pages/facets/actions.zh-CN.md,acc2197d981f05a118005e196a8e1846b1a723211da253ddb0a9f61f159190af,16,5,S11,f2c7871d6b3c45f8aecbf2010d034710285f0a3ddae02cd1e46afd5c8a1d3c02,/zh/personality/big-five/facets/actions,en-US,en,Actions,big-five/facets/actions,/en/personality/big-five/facets/actions,pages/facets/actions.en-US.md,evidence/O4-actions.claims.json,BIG5-EN52-OPENNESS-FACETS-05,pending
27,O5-ideas,O5-ideas,facet_detail,ideas,openness,pages/facets/ideas.zh-CN.md,0281eca426d32d3b4ce5333422cd24ad068e55c8d4f8a906b12b8c0f6368cac8,16,5,S11,7f69370fd4c9d09af4a0adfd4ee0830368a41d474afbd15bd1d922ea60b0ffa1,/zh/personality/big-five/facets/ideas,en-US,en,Ideas,big-five/facets/ideas,/en/personality/big-five/facets/ideas,pages/facets/ideas.en-US.md,evidence/O5-ideas.claims.json,BIG5-EN52-OPENNESS-FACETS-05,pending
28,O6-values,O6-values,facet_detail,values,openness,pages/facets/values.zh-CN.md,a643ad5d1bbda21541c8a47a015a878851225857d8e05a23d136ab8ad7c5fb49,16,5,S11,bb5001a2b17649b03493295251e8d6cf2963e4fbda6a6c73a302fb8f6365aed9,/zh/personality/big-five/facets/values,en-US,en,Values,big-five/facets/values,/en/personality/big-five/facets/values,pages/facets/values.en-US.md,evidence/O6-values.claims.json,BIG5-EN52-OPENNESS-FACETS-05,pending
29,C1-competence,C1-competence,facet_detail,competence,conscientiousness,pages/facets/competence.zh-CN.md,21e4251cd3b579917aee08c8f9b217409fcac3f258ee79b39c08df3fa187ab06,16,5,S11,6ed4b6aa6ee6866b6d88ba3dd25a82556a1e078d3e06b5e3901993d39c68c9aa,/zh/personality/big-five/facets/competence,en-US,en,Competence,big-five/facets/competence,/en/personality/big-five/facets/competence,pages/facets/competence.en-US.md,evidence/C1-competence.claims.json,BIG5-EN52-CONSCIENTIOUSNESS-FACETS-06,pending
30,C2-order,C2-order,facet_detail,order,conscientiousness,pages/facets/order.zh-CN.md,360ae4573778d750ce18c6ac8df6feb8a1cfac1c5058a0f9d044a2790933f38b,16,5,S11,56c59277527154266ab6b1075eb8ce8868ce0dc53c8956dc025a4f85e878f5c0,/zh/personality/big-five/facets/order,en-US,en,Order,big-five/facets/order,/en/personality/big-five/facets/order,pages/facets/order.en-US.md,evidence/C2-order.claims.json,BIG5-EN52-CONSCIENTIOUSNESS-FACETS-06,pending
31,C3-dutifulness,C3-dutifulness,facet_detail,dutifulness,conscientiousness,pages/facets/dutifulness.zh-CN.md,7905476231fb6071315382de1b42a5aefbfebec619e3bedecec9ad4966e246b3,16,5,S11,2f9d69c7e4788d50e7dd529d96969debcf165bac438ca8829cb266efb4f241f5,/zh/personality/big-five/facets/dutifulness,en-US,en,Dutifulness,big-five/facets/dutifulness,/en/personality/big-five/facets/dutifulness,pages/facets/dutifulness.en-US.md,evidence/C3-dutifulness.claims.json,BIG5-EN52-CONSCIENTIOUSNESS-FACETS-06,pending
32,C4-achievement-striving,C4-achievement-striving,facet_detail,achievement-striving,conscientiousness,pages/facets/achievement-striving.zh-CN.md,505fa9387340293bfdd5a0967ddf1a92e4b31d3104dd8d2e7cb57ba546d50683,16,5,S11,4c6c93c208d80a24b869a437a42efe0f56b3c7f388e8f7b1b8037739f59f41b6,/zh/personality/big-five/facets/achievement-striving,en-US,en,Achievement Striving,big-five/facets/achievement-striving,/en/personality/big-five/facets/achievement-striving,pages/facets/achievement-striving.en-US.md,evidence/C4-achievement-striving.claims.json,BIG5-EN52-CONSCIENTIOUSNESS-FACETS-06,pending
33,C5-self-discipline,C5-self-discipline,facet_detail,self-discipline,conscientiousness,pages/facets/self-discipline.zh-CN.md,1f3068e72037364278101be81fbe63a3d7ecdb8870fdecaac4c12afc0c068f2e,16,5,S11,87ddf4f702b7d6c72ea5cccb70ed8f295e0c9e9cefeb16a39c28e5973158a7d6,/zh/personality/big-five/facets/self-discipline,en-US,en,Self-Discipline,big-five/facets/self-discipline,/en/personality/big-five/facets/self-discipline,pages/facets/self-discipline.en-US.md,evidence/C5-self-discipline.claims.json,BIG5-EN52-CONSCIENTIOUSNESS-FACETS-06,pending
34,C6-deliberation,C6-deliberation,facet_detail,deliberation,conscientiousness,pages/facets/deliberation.zh-CN.md,77f6dcc31cdd686bfb2ad18778e3ff891536c3fd9811fcd11fea2ac9c208c54c,16,5,S11,b0df1f69ed60db93dd04a98bbbc6554f3589f870331c4f5cbafa4a22ecd959e2,/zh/personality/big-five/facets/deliberation,en-US,en,Deliberation,big-five/facets/deliberation,/en/personality/big-five/facets/deliberation,pages/facets/deliberation.en-US.md,evidence/C6-deliberation.claims.json,BIG5-EN52-CONSCIENTIOUSNESS-FACETS-06,pending
35,E1-warmth,E1-warmth,facet_detail,warmth,extraversion,pages/facets/warmth.zh-CN.md,4284d4752df5c786b194bc2f1bc5f991d0be151945dd4b11c46e479a42761b34,16,5,S11,0ddeb7e8ed3e070fefedeae9288925eba648ef1e48b548ac5df5050accbdc550,/zh/personality/big-five/facets/warmth,en-US,en,Warmth,big-five/facets/warmth,/en/personality/big-five/facets/warmth,pages/facets/warmth.en-US.md,evidence/E1-warmth.claims.json,BIG5-EN52-EXTRAVERSION-FACETS-07,pending
36,E2-gregariousness,E2-gregariousness,facet_detail,gregariousness,extraversion,pages/facets/gregariousness.zh-CN.md,3e664ae5d70e4a4839fbbf35a3eca7ea9a3a348a11240d3462acef7dfa31e208,16,5,S11,0cf536027b26002cd7c7d4c1941005f16de8cbc8a08c840d1f24358865b4a6fe,/zh/personality/big-five/facets/gregariousness,en-US,en,Gregariousness,big-five/facets/gregariousness,/en/personality/big-five/facets/gregariousness,pages/facets/gregariousness.en-US.md,evidence/E2-gregariousness.claims.json,BIG5-EN52-EXTRAVERSION-FACETS-07,pending
37,E3-assertiveness,E3-assertiveness,facet_detail,assertiveness,extraversion,pages/facets/assertiveness.zh-CN.md,2208d7945ba9ef50f9015f50b89522dd119f6410202ebf761fcf7893287eb6bc,16,5,S11,420e1d6003ad177993a924547c6ea23cb976d73ecaca3a9d5735dc766adaef7f,/zh/personality/big-five/facets/assertiveness,en-US,en,Assertiveness,big-five/facets/assertiveness,/en/personality/big-five/facets/assertiveness,pages/facets/assertiveness.en-US.md,evidence/E3-assertiveness.claims.json,BIG5-EN52-EXTRAVERSION-FACETS-07,pending
38,E4-activity,E4-activity,facet_detail,activity,extraversion,pages/facets/activity.zh-CN.md,c4dcda4e2ad5523e34bf732d06122fa443f0963b6cc62b1ba31aed43084973e3,16,5,S11,78361fe0736007872f7b50f3bc9a7876b18f193ab3ed547b7083ff4258b7076a,/zh/personality/big-five/facets/activity,en-US,en,Activity,big-five/facets/activity,/en/personality/big-five/facets/activity,pages/facets/activity.en-US.md,evidence/E4-activity.claims.json,BIG5-EN52-EXTRAVERSION-FACETS-07,pending
39,E5-excitement-seeking,E5-excitement-seeking,facet_detail,excitement-seeking,extraversion,pages/facets/excitement-seeking.zh-CN.md,244ec1f63446a6389250c071c4edcf7c6c6c8dad3f6cd51c102cb89ed6cdc404,16,5,S11,48c02cdf8b7f3d340d7b71f724020629c66e8a86e82c4b4a5b9fe0524b2c708c,/zh/personality/big-five/facets/excitement-seeking,en-US,en,Excitement Seeking,big-five/facets/excitement-seeking,/en/personality/big-five/facets/excitement-seeking,pages/facets/excitement-seeking.en-US.md,evidence/E5-excitement-seeking.claims.json,BIG5-EN52-EXTRAVERSION-FACETS-07,pending
40,E6-positive-emotions,E6-positive-emotions,facet_detail,positive-emotions,extraversion,pages/facets/positive-emotions.zh-CN.md,76aacbb3b90c6fa362128a81cbbc3fe2cc68a3308cfd7cdf7c8c896727bb3aa5,16,5,S11,db1076abfd389f2627aef95ca8ae602778e774a931c5a791901593a8ecdf87a0,/zh/personality/big-five/facets/positive-emotions,en-US,en,Positive Emotions,big-five/facets/positive-emotions,/en/personality/big-five/facets/positive-emotions,pages/facets/positive-emotions.en-US.md,evidence/E6-positive-emotions.claims.json,BIG5-EN52-EXTRAVERSION-FACETS-07,pending
41,A1-trust,A1-trust,facet_detail,trust,agreeableness,pages/facets/trust.zh-CN.md,b403c499c1e7ce51fe20317e0a3c5742bc5dab5fccf77cefa827ab4943eb946e,16,5,S11,3d1e947bef4303072d6db975f29aea5f0a7d3fe5ae42e9eddf5e4fdd8fd74b8b,/zh/personality/big-five/facets/trust,en-US,en,Trust,big-five/facets/trust,/en/personality/big-five/facets/trust,pages/facets/trust.en-US.md,evidence/A1-trust.claims.json,BIG5-EN52-AGREEABLENESS-FACETS-08,pending
42,A2-straightforwardness,A2-straightforwardness,facet_detail,straightforwardness,agreeableness,pages/facets/straightforwardness.zh-CN.md,a9154efbe852035a71d1e6663922a00b878593f441062961a4dd49c62a785603,16,5,S11,3813ddfe527c6273b24cb86bc8a2756ae2c9840860d57629e227c0d117c63fc0,/zh/personality/big-five/facets/straightforwardness,en-US,en,Straightforwardness,big-five/facets/straightforwardness,/en/personality/big-five/facets/straightforwardness,pages/facets/straightforwardness.en-US.md,evidence/A2-straightforwardness.claims.json,BIG5-EN52-AGREEABLENESS-FACETS-08,pending
43,A3-altruism,A3-altruism,facet_detail,altruism,agreeableness,pages/facets/altruism.zh-CN.md,76c23050d36654fb9d10003b712c1cf1820c4d7c66a886916fa739096d0ea7d9,16,5,S11,7b95efb31f105f87b6cc4b598adac45c6141554de8e80544b6369645fd0234ee,/zh/personality/big-five/facets/altruism,en-US,en,Altruism,big-five/facets/altruism,/en/personality/big-five/facets/altruism,pages/facets/altruism.en-US.md,evidence/A3-altruism.claims.json,BIG5-EN52-AGREEABLENESS-FACETS-08,pending
44,A4-compliance,A4-compliance,facet_detail,compliance,agreeableness,pages/facets/compliance.zh-CN.md,724c54cd111a81562ab3bfe27bdb01798133568d23fef6cb5497b9ee9e4a00af,16,5,S11,93bf7aec98545b6d5e6ad58ae2d467f9acf468fd667356a59ef71c4d592a1edc,/zh/personality/big-five/facets/compliance,en-US,en,Compliance,big-five/facets/compliance,/en/personality/big-five/facets/compliance,pages/facets/compliance.en-US.md,evidence/A4-compliance.claims.json,BIG5-EN52-AGREEABLENESS-FACETS-08,pending
45,A5-modesty,A5-modesty,facet_detail,modesty,agreeableness,pages/facets/modesty.zh-CN.md,b665f80d1a101c304767d9df6da8dd7365f82c766774f367d988a16b6fb23f6b,16,5,S11,9c5f59ec3e3eafdc5588bf2b8d07f1073035657b0bec3a7cf31d078faf18829e,/zh/personality/big-five/facets/modesty,en-US,en,Modesty,big-five/facets/modesty,/en/personality/big-five/facets/modesty,pages/facets/modesty.en-US.md,evidence/A5-modesty.claims.json,BIG5-EN52-AGREEABLENESS-FACETS-08,pending
46,A6-tender-mindedness,A6-tender-mindedness,facet_detail,tender-mindedness,agreeableness,pages/facets/tender-mindedness.zh-CN.md,b6bbc8211e1981ec43aebe93a3f99d454f93634d501734cf0209cb532baea562,16,5,S11,50c6dbd19fe21029489105feba7e152b0c223d9fe98d502756d9d35c05ee116c,/zh/personality/big-five/facets/tender-mindedness,en-US,en,Tender-Mindedness,big-five/facets/tender-mindedness,/en/personality/big-five/facets/tender-mindedness,pages/facets/tender-mindedness.en-US.md,evidence/A6-tender-mindedness.claims.json,BIG5-EN52-AGREEABLENESS-FACETS-08,pending
47,N1-anxiety,N1-anxiety,facet_detail,anxiety,neuroticism,pages/facets/anxiety.zh-CN.md,865107d4d048b394f1e1d2a31a373844d67bf5f49513dab22066958c86e27bbe,16,5,S11,f9fc6014e647d5f840698128fdd9ab856b4dcc4682767788ad45cf67785dc4cd,/zh/personality/big-five/facets/anxiety,en-US,en,Anxiety,big-five/facets/anxiety,/en/personality/big-five/facets/anxiety,pages/facets/anxiety.en-US.md,evidence/N1-anxiety.claims.json,BIG5-EN52-NEUROTICISM-FACETS-09,pending
48,N2-anger,N2-anger,facet_detail,anger,neuroticism,pages/facets/anger.zh-CN.md,4af5cb879d712a542d7af2fa0e6ff0707647b150c04798d9cc1d3d70514d09a9,16,5,S11,89692610e0a69615fdaa7c9d0d0478d6112bd7a4a64914ae6ee55ed9ff945b0d,/zh/personality/big-five/facets/anger,en-US,en,Anger,big-five/facets/anger,/en/personality/big-five/facets/anger,pages/facets/anger.en-US.md,evidence/N2-anger.claims.json,BIG5-EN52-NEUROTICISM-FACETS-09,pending
49,N3-depression,N3-depression,facet_detail,depression,neuroticism,pages/facets/depression.zh-CN.md,41e2aefdcdeed3cf51f0eb952086847c1c304a50a5fbbc71f571a82c2aee4b10,16,5,S11,57783220eef14efa6c99d3a866ffe701af43e95f8e5bb822ce7f8fe98f327879,/zh/personality/big-five/facets/depression,en-US,en,Depression,big-five/facets/depression,/en/personality/big-five/facets/depression,pages/facets/depression.en-US.md,evidence/N3-depression.claims.json,BIG5-EN52-NEUROTICISM-FACETS-09,pending
50,N4-self-consciousness,N4-self-consciousness,facet_detail,self-consciousness,neuroticism,pages/facets/self-consciousness.zh-CN.md,4a629e9d2df78ed1c1d91289ee7a35ae6665d584cb681b1a0e6f314db2e63d2b,16,5,S11,1858579d72800241319ce71c3d3490bf647d5a7b002d56c9c61a20b5dd6bd9ab,/zh/personality/big-five/facets/self-consciousness,en-US,en,Self-Consciousness,big-five/facets/self-consciousness,/en/personality/big-five/facets/self-consciousness,pages/facets/self-consciousness.en-US.md,evidence/N4-self-consciousness.claims.json,BIG5-EN52-NEUROTICISM-FACETS-09,pending
51,N5-impulsiveness,N5-impulsiveness,facet_detail,impulsiveness,neuroticism,pages/facets/impulsiveness.zh-CN.md,7ab0a68f146f3a22902550810542c3b208229e2e202292e7e05af72aaeb5933e,16,5,S11,716bafc73ad3f02e4287ca641b2f6589f6bf12f239ed4111584055fc92ed3b34,/zh/personality/big-five/facets/impulsiveness,en-US,en,Impulsiveness,big-five/facets/impulsiveness,/en/personality/big-five/facets/impulsiveness,pages/facets/impulsiveness.en-US.md,evidence/N5-impulsiveness.claims.json,BIG5-EN52-NEUROTICISM-FACETS-09,pending
